Title,Plot
The Forest,"The majority of the story is set in and around the Aokigahara Forest, a forest at the northwest base of Mount Fuji in Japan known as a popular destination for suicide.
Sara Price, an American woman, receives a phone call from the Japanese police telling her that they think her troubled twin sister Jess is dead, as she was seen going into Aokigahara forest. Despite the concerns of her fiancé, Rob, she journeys to Japan and arrives at the hotel where her sister was staying.
At her hotel, Sara meets a reporter named Aiden. They drink together, and she tells him of her parents' death. In reality, her father killed her mother, then committed suicide, but she tells him they were killed by a drunk driver. Her sister saw the bodies, but she didn't look. Aiden invites her to go into the forest with him and a park guide, Michi, so she can look for her sister.
As the three enter Aokigahara, Michi tells Sara that Jess has most likely killed herself. Sara refuses to believe this, explaining how, being a twin, she can ""feel"" that Jess is still alive. Deep in the woods, the group discovers a yellow tent that Sara recognizes as Jess's. With nightfall approaching, Michi suggests they leave a note for Jess and leave. Sara refuses, and Aiden volunteers to stay with her through the night.
That night, Sara hears rustling in the bushes and, believing it may be Jess, rushes into the woods after her. Sara finds a Japanese girl, Hoshiko, who claims to know Jess. The girl warns Sara not to trust Aiden and flees at the sound of his voice. Sara attempts to chase after her but falls and loses her.
The next day, Aiden and Sara become lost and begin to walk around the forest. As they walk, Sara's suspicions are raised and she demands Aiden to give her his phone and finds a picture of Jess on it. Aiden denies any involvement with Jess, but Sara runs into the forest alone. While running she begins to hear voices telling her to turn around. She appears to be unfazed by this until she hears the voice directly behind her. She turns around to see a hanging body and continues to run away. She then falls through a hole into an underground cave and goes unconscious, later she wakes up and discovers that she is in the cave with Hoshiko, who turns out to be a yūrei. Hoshiko then turns into what appears to be a ""demonic figure"". Sara then runs back towards the cave's opening, where Aiden finds her and helps her out of the cave. After some convincing, they continue to walk together.
Aiden brings Sara to an old ranger station he claims he'd discovered while looking for her. Sara hears her sister's voice coming from a locked basement, and finds a note which implies that Aiden is holding Jess captive in the basement. Convinced that he is a threat, Sara attacks and kills Aiden with a small kitchen knife. As he dies, Sara realizes that Aiden was telling the truth and that the picture on his phone, the voice at the basement door and the note had all been hallucinations.
In the basement of the ranger station, Sara sees a vision of the night her parents died. The ghost of her father suddenly appears and lunges toward her, grabbing her wrist. She cuts his fingers away from her wrist and escapes the station. Running into the forest, she sees Jess running toward the lights of the search party. Sara calls to her sister, who is unable to hear her. She realizes that her escape from the ranger station was another hallucination. When she cut at her father's fingers she was actually cutting deep into her own wrists, and is now dying from blood loss in the basement. As she succumbs to her wounds, hands of a group of yūrei pull Sara into the forest floor. Her very much alive sister is rescued by the search party and explains that the ""feeling"" of her sister is gone and it is assumed that Jess knows Sara is dead. As the search party leaves, Michi is seen staring at a figure and realizes that it's Sara's spirit."
Anesthesia,"Philosophy professor Walter Zarrow is wounded during a mugging. In an effort to escape he rings buzzers indiscriminately, waking Sam, a middle-aged father of two having an affair in the city. Sam reluctantly answers Zarrow's pleas, and Zarrow loses consciousness in his arms. Through an exploration of why these men, along with the mugger, and an addict named Joe, come together, we explore New York City. The experience of Zarrow, Sam, Joe and Zarrow's assailant ripple quickly out to include the connected lives of a housewife struggling with alcoholism, a stoner teen desperate to lose his virginity, a brilliant but failed writer fighting addiction, two parents confronting the prospect of terminal illness, and a brilliant grad student who harms herself to feel alive."
Lamb,"The film opens with David Lamb (Ross Partridge) visiting his sick and dying father Walter Lamb (Ron Burkhardt). After visiting his father, David goes to his motel room, where he is currently living. David's father dies. After attending his father's burial, David ends up in a parking lot ""in a particularly depressed-looking corner of Chicago,"" smoking, where Tommie (Oona Laurence) is sent by her friends to ask David for a cigarette. When asked, David gives her a cigarette, and Tommie shows him her friends. Tommie asks David to scare her friends by pretending to kidnap her. He tries to prove a point to her and brings her home.
Back at David's work his boss, Wilson (Joel Murray) gives David his condolences, and insists that David take some time off work. David runs into Tommie at the parking lot, and offers to buy her lunch. Back at Tommie's home, her mother Linda (Lindsay Pulsipher), and her mother's boyfriend Jesse (Scoot McNairy), ask where she has been. The next day, Tommie and David hang out again; David asks Tommie to go on a camping trip for a week. He tells her he would bring her back before any one would start to worry. At a hotel, David tells Tommie he wants her to think if she really wants to stay, or go back home. He tells her this might look like a kidnapping due to their age differences so she can leave at any time. Tommie decides to stay.
At a truck stop, Melissa (Jennifer Lafleur) sees Tommie crying. Tommie lies and says her name is ""Emily."" Tommie tells David she wants to go home; he tells her he could take her home, like he said he would earlier. The next day, David and Tommie hang out by a lake. While there at the lake, Foster (Tom Bower), a neighbor of theirs at the cabin, tells the two of them that they are on private property. David tells him he's with his niece Emily aka Tommie. Returning from the mountains, Tommie asks David if she could have a root beer; David asks Tommie to get him a beer; she asks if she can have some of the beer, and he agrees she can have one sip of it. Foster walks into the room, where he sees Tommie holding the beer. David pretends to yell at ""Emily"" and apologizes to Foster what happened. Foster warns David there are unfriendly neighbors nearby who don't like kids. One morning, David notices a car approaching the cabin; he takes puts Tommie in a closet and tells her not to be seen. The car turns out to be driven by Linny (Jess Weixler) who came to give David company.
David tells Tommie to run to the shop quietly as she can. Later that night, Tommie asks David why Linny called him ""David"" instead of ""Gary"". He tells her, it's to ""protect her/us"". While David is talking to Tommie one morning, Linny walks in, and almost catches Tommie. Linny tells David she's going to get mattresses from the other room; David lies, since Tommie is hiding in that room, by telling her a fake ghost story about ""Emily"". Tommie is seen running from the cabin, to Foster's house. She approaches the cabin and sees David and Linny having sex. David notices that Tommie is watching. David tells Tommie they are going to head back home. Once they arrive at their hometown, the two emotionally say goodbye.
The film ends with Tommie chasing after David as he drives away."
Ride Along 2,"The film starts in Miami on the boat of crime lord Antonio Pope. His hacker A.J. is going through a list on the computer. Pope calls Port Commissioner Griffin on the phone and accuses him of stealing money from him. With one of his hitmen in the room, Pope has Griffin killed in his apartment, then orders his hitmen to find whoever left with his money.
Meanwhile in Atlanta, James is with his partner Detective Mayfield as they go to infiltrate a vehicle meet to find an infamous drug dealer named Troy. Ben, fresh out the academy, is eager to get in on the action, but James has him staying on the radio. James gets close enough to Troy, but Troy pulls a gun on him. Ben sees this over the camera and sneaks out to help. He rides into the meet in a showy car with hydraulics and draws unwanted attention to himself. He threatens Troy by acting tough dancing only to drop his badge in front of the crook. Then within seconds a brief shootout occurs leading to a random plan ""B"" with Mayfield getting shot and Troy making his escape. James and Ben go after him, with Ben nearly getting himself run over, though James follows Troy long enough until Troy drives out of a parking garage and onto another car. James then captures Troy and removes a necklace he was wearing which was also a flash drive.
Mayfield is later hospitalized, and at the hospital, James reprimands Ben for his decision since he got Mayfield injured in the chaos causing him to take a leave of absence due to his injury. Lt. Brooks assigns James to go to Miami and see who Troy was working for. Ben wants to go so that he can prove himself ready for detective work, but nobody believes in him, especially after the mess he just caused.
At home, Ben begins to plan his wedding to Angela, but he clashes with the wedding planner Cori. He tries to assert himself, but gets knocked out by the ceiling fan. Later, as Angela tries to seduce Ben, he complains about not being able to go to Miami. Angela calls James and tries to get him to take Ben, not just for himself, but so she can have him out of her hair while the wedding is planned. James refuses, but then changes his mind when he thinks he can prove that Ben doesn't have what it takes to be a detective. He goes to their house and officially invites Ben to Miami. James and Ben drive down to Miami together.
Ben starts his detective work by trying to blend in with the locals as they search for A.J. but Ben gets punished by homicide detective Maya Cruz for using her computer without permission. Later, James and Ben find the hacker, who tells them about a safe in a club that contains something important, but first they have to meet with someone there. The guys go to the club for work, but A.J. gets Ben to enjoy himself with an impromptu bachelor party. However, the man they are supposed to meet is also Pope's hitman. A.J. causes a distraction and escapes while James engages in a brief shoot-out with the hitman. Afterward, the two are met by Maya at the crime scene. The safe turned out to be empty. Before the guys can leave, James realizes a bomb was planted under his car, which goes off and destroys his car.
Ben realizes he kept A.J.'s phone on him, so they find his girlfriend Tasha to get a lead on his whereabouts. Ben convinces Tasha to spill the beans when he shows her that he's been hooking up with other women and given them unique ringtones, while Tasha is left with the generic Apple ringtone. The guys locate A.J. once more and bring him in on the investigation. He reveals to the team that Pope is the real crook, despite him having a public image as an entrepreneur working alongside the new port commissioner Nunez. The team is at the home of Maya's friend/associate Alonso, whom Ben accidentally shoots after getting scared. Despite getting shot, Alonso backs up A.J.'s word that Pope is a crook.
James, Ben, and Maya go to a party hosted by Pope in his mansion. Maya distracts Pope by dancing with him while James and Ben gather info, and A.J. is their eyes and ears. While snooping around, Ben is attacked by Pope's pet alligator, Marcus, in the backyard. After narrowly escaping from the jaws of Pope's pet alligator, Ben reconnects with the team and they get their information, but Pope catches them and knows they're cops, though he lets them go. The team uses their information to locate a group of shipping trucks that may be carrying Pope's contraband. However, when they attempt to stop the trucks at the port, they discover that the trucks are empty. Hernandez Arturo del Puerto scolds the team, as Pope shows up and acts angry for what the team did. Nunez then shows up and calls Hernandez over. Brooks is informed of the screw-up and orders James to be suspended and for Ben to be fired.
The team goes to a bar to think about what they did wrong. Maya then questions as to why Nunez would have shown up so fast at the port. A.J. mentions that Nunez's name was on a list of guys on Pope's payroll. James realizes that Pope knew he would have gotten caught, so he had a decoy in the trucks, and the real contraband items are being brought in somewhere else at the port. James, Maya, and A.J. go after Pope, but Maya handcuffs Ben to a pole after James says he wants Ben to stay so he can take care of Angela. However, Ben breaks free and goes to Alonso's house to get the cuffs off.
James, Maya, and A.J. are at the port in the morning to catch Pope. They have a shootout with Pope and his goons, when Ben arrives and moves a truck to knock over a container with flammable barrels, causing them to explode. Pope runs and takes A.J. hostage, then tries fleeing in a truck. James goes after him, but Ben knocks a container into Pope's path, causing him to crash. James runs to the truck and doesn't find Pope. Pope tries to shoot James, but Ben jumps in the way and takes the bullet. James shoots Pope a few times to bring him down, then sees that Ben was wearing a bulletproof vest. Pope rises and shoots again, but James uses Ben as a human shield, and Maya shoots Pope once more for good measure, killing him and ending the gun battle once and for all.
James and Ben are off the hook for taking down Pope and Nunez and being commended for their services. They drive home in a yellow Lamborghini that Maya got for them to drive back to Atlanta for the wedding, with James asking Maya to be his date. Ben and Angela are married and are ready to go off on a boat ride, but Ben wants James to make a speech. Reluctantly, James speaks and says that while Ben has gotten him into a lot of trouble since meeting him, he has also saved his life, has made Angela very happy, and has helped James grow into a better man and cop. He finally accepts Ben as his new family. Ben and Angela then go on their boat ride, but Ben gets distracted and is thrown out the boat when he rides over a bump. He is then dragged through the water by a rope as Angela tries to stop the boat, all while James laughs at this."
13 Hours: The Secret Soldiers of Benghazi,"In 2012, Benghazi, Libya is named one of the most dangerous places in the world, and countries have pulled their diplomatic offices out of the country in fear of an attack by militants. The United States, however, still has a diplomatic compound (not an official consulate) open in the city. Less than a mile away is a CIA outpost called ""The Annex"", which is protected by a team of private military contractors from Global Response Staff (GRS). New to the detail is Jack Silva, who arrives in Benghazi and is picked up by Tyrone ""Rone"" Woods, commander of the GRS team and a personal friend of Silva. Arriving at the Annex, Silva is introduced to the rest of the GRS team and the CIA Chief of Station, who constantly gives the team strict reminders to never engage the citizens.
The U.S. Ambassador Chris Stevens arrives in Benghazi to maintain diplomatic connections amidst the political and social chaos. Despite warnings, Stevens decides to stay at the Special Mission with limited protection from a pair of Diplomatic Security (DS) agents, Scott Wickland and Dave Ubben, and guards hired from the local February 17th Martyrs Brigade militia, nicknamed ""17-Feb"". On the morning of the eleventh anniversary of the September 11 attacks, Stevens notices suspicious men taking pictures of the compound and notifies his security detail. Back at the Annex, Silva finds out that his wife is pregnant.
That night, a group of militants from Ansar al-Sharia assault the compound. The 17-Feb guards quickly surrender their posts, allowing the attackers easy access to the Special Mission compound. Wickland takes Stevens and Smith, an IT specialist, into the safe room. Unable to breach the safe room, the attackers set the building on fire hoping to burn the men out. Wickland is able to escape but loses both Stevens and Smith. At the Annex, the GRS team desperately wants to go to the compound to help, but the Chief refuses, fearing that the team's departure would expose the Annex. However, the team dispatches to the compound and meets up with the DS agents. Silva and Woods go into the building to try to find Stevens and Smith, but are only able to find Smith's body. The DS team from the compound retreats to the Annex; but after Wickland goes in the wrong direction, they are followed back to the Annex. Later, the GRS team also retreats to the Annex.
Knowing an attack by the militants is imminent, the CIA staff of the Annex makes several desperate calls for help. The only help they can get is from Glen ""Bud"" Doherty, a GRS officer in Tripoli, who forms a team including two Delta operators that fly to Benghazi after several delays. Meanwhile, the GRS team fends off the militants as they try to breach the Annex perimeter. After repelling the largest attack wave, the Annex receives word from ISR that help is en route.
The Tripoli GRS reinforcements arrive and begin preparing the CIA and DS staff to depart for the airport. The militants launch a mortar attack in which Ubben and Geist are wounded; Geist's left arm is partially severed. Woods rushes to aid Geist and is killed by another mortar round. Doherty is also killed when a third mortar detonates directly in front of him.
With the GRS team compromised, and the Annex now vulnerable, the remaining GRS operators watch as a convoy of vehicles rolls toward the Annex. Fearing the worst, the operators prepare to make a final stand, until it is revealed that the convoy is an element of the Libya Shield Force militia escorting the GRS reinforcements. They also find out that Stevens was found behind the compound, but was pronounced dead at the hospital.
At the airport, the CIA staff and the wounded Geist board the plane to Tripoli while the remainder of the GRS team waits for the next plane with the bodies of Stevens, Smith, Woods and Doherty. Closing titles reveal that all of the surviving members of the Annex security team received contractor medals in a private ceremony and have since retired from the GRS team and live with their families (Geist was able to save his arm after several surgeries)."
Norm of the North,"Norm the polar bear is the son of the king of the Arctic. In his youth, he develops the ability to speak to humans, a trait shared by his grandfather. Because of this, he is made an outcast from the other animals, only being accepted by Socrates, a wise bird, and Elizabeth, a female polar bear whom Norm is in love with.
Years later, Norm's grandfather has disappeared and human tourists are filling the Arctic. Socrates shows Norm and three Arctic lemmings a luxury condo that has been installed on the ice. Inside this condo is Vera, a representative for wealthy developer Mr. Greene. After Norm saves Vera from an avalanche, Mr. Greene tells her to find an actor to play a polar bear for their campaign. Socrates convinces Norm and the lemmings to stow away on a ship to New York City.
In the city, Norm, pretending to be an actor dressed as a bear, auditions for Mr. Greene's commercial and is taken to dinner by Vera. Greene, who realizes that Norm is a real bear, suspects that Norm has come to free his grandfather, who Greene has captured. During a public incident involving Greene trying to shoot Norm in the restaurant, Norm subdues Greene, gaining the attention of the media and heightening Greene's approval ratings. Greene decides to hire Norm as his mascot.
Before going on a television show, Norm meets Vera's daughter Olympia, who tells Norm to raise Greene's approval ratings and then speak out against him to save the Arctic. Norm's popularity heightens the approval ratings, but Greene sabotages Norm's plan by playing recorded dialogue stating that Norm supports Greene's developments.
Defeated, Norm is comforted by Vera and Olympia, who reveals that Greene is developing more homes to install in the Arctic. Norm and the lemmings discover that Greene is bribing a high-ranking member of the Polar Council, and exposes this to Pablo, one of Greene's investors. Vera resigns her position and is hired by Pablo, while Norm and the lemmings chase the truck holding the houses.
Greene sends another truck carrying Norm's grandfather, and Norm is captured as well. After being freed by the lemmings, Norm and his grandfather catch up to the boat carrying the houses to the Arctic, and are able to detach the houses. However, Norm is separated from his grandfather and the lemmings, and is knocked unconscious.
Norm awakens in the Arctic and reunited with the lemmings and the other animals, who reveal that his grandfather was not found. Because of his heroism, Norm is crowned the king of the Arctic, before his grandfather arrives at the ceremony. Meanwhile, Mr. Greene is humiliated after his plan is exposed, and Vera and Olympia are happy with Pablo as their new boss, while Norm and Elizabeth have three cubs together."
Dirty Grandpa,"Jason Kelly is a lawyer who works for his father. Jason's grandmother dies, and after the funeral, his Army veteran grandfather, Dick, asks Jason to drive him to Boca Raton, Florida. Jason is getting married to his controlling fiancée, Meredith, in one week, but decides to take his grandfather anyway.
On the way there, the two meet Jason's old photography classmate, Shadia, along with her friends Lenore and Bradley. Dick and Lenore are instantly attracted to each other. Dick tells the girls that he is a professor and that Jason is a photographer. They all go their separate ways, but Dick convinces Jason that they should meet the girls at Daytona Beach, Florida, because Dick wants to have sex with Lenore. The two go to a golf course, where Dick flirts with two women.
At Daytona Beach, they meet up with the girls and the girls' friends, Cody and Brah, with whom they compete in beer chugging. That night, a drunk Jason, wearing nothing but a Hornet fanny pack, parties and smokes crack cocaine that he gets from a drug dealer named Pam. He steals a motorcycle and wakes up the next day on the beach. During an awkward FaceTime with Meredith, a boy grabs the fanny pack and takes it off; his father suspects Jason of being a pervert and calls the police, who promptly arrest Jason. Dick bails him out, and the two visit Dick's old Army friend in a nursing home. They meet the girls again and enter a flexing contest with Cody and Brah; when they lose, Dick alters a T-shirt cannon to fire a beer can at the winning duo, hospitalizing them and stay at their place. After Dick reveals to Jason that he was a member of the Special Forces, the two go to a nightclub with the girls. Dick gets into a fight with some men after they bully Bradley for his homosexuality. The next day, Jason goes to a protest with Shadia and she tells him that she is leaving soon and going to live on a ship for a year.
That night, Jason plans on telling Shadia who he really is, but before he can, Cody does an online search on him and tells Shadia that Jason is already engaged. Jason then gets caught with drugs and is thrown into jail again. The next day, Dick bails him out and tells Jason that his real reason for the trip was to convince Jason not to go through with the wedding. Jason leaves Dick and drives back home.
During his wedding rehearsal, Dick hacks into the computer system, revealing embarrassing photos of Jason during the party. Jason says that he cannot marry Meredith, who reveals that she had an affair. He, Dick, and Pam use Pam's ice cream truck to catch up with the bus that Shadia is on as she is leaving. Jason and Shadia kiss, and he gets on the bus with her. Dick goes to his house in Boca Raton and finds Lenore there waiting for him, and they have sex. Dick and Lenore get married and have a baby, and Jason and Shadia are named the godparents."
The 5th Wave,"Ohio high-schooler Cassie Sullivan, armed with an M4 carbine, emerges from the woods to raid an abandoned gas station. Upon entering, she hears a male voice calling for help. She finds a wounded man, who points a gun at her, but they each put their weapons down. His other hand is under his jacket and as he takes it out, she sees a glint of metal and kills him. He was holding a Christian cross and the screen cuts to black to show her backstory.
A city-sized alien spaceship is circling Earth, containing extraterrestrials referred to as ""The Others"". Ten days later, The Others unleash their 1st Wave, an electromagnetic pulse that permanently destroys all electrical power. The 2nd Wave has The Others manipulate the planet's geology and fault lines, causing earthquakes and megatsunamis that destroy coastal cities and islands. For the 3rd Wave, The Others weaponize a strain of avian flu virus, with birds carrying the infectant across the planet. Cassie's mother is one of the casualties.
Cassie, her father and her younger brother Sam, find a refugee camp in the woods with roughly 300 survivors. A few days later, an army unit with working vehicles rolls into the camp. The unit's commander, Colonel Vosch, claims there is an imminent threat of a 4th Wave and they will take the children to safety at Wright-Patterson Air Force Base, intending to bring the buses back to retrieve the adults. Cassie is separated from Sam, and witnesses the army massacring all the adults, her father included.
Cassie scavenges her way toward the base, but is shot in the leg by an unseen shooter and passes out. About a week later, she wakes up in the farmhouse of a man named Evan Walker, who saved her. Cassie leaves towards the base with Evan, but learns that he is an Other, sent years ago as a sleeper agent and merged his consciousness into a human host. The sleepers roam their designated zones, killing human survivors. Evan admits his humanity was reactivated when he saw her, disagrees with the invasion and lets her leave. He warns that Colonel Vosch and the military are possessed by the consciousness of individual Others.
At the base, the military have used deception and technology to convince the rescued children that the humans outside the base have been possessed. They provide military training to the children, forming them into squads to go on kill missions outside the base. Sam has been placed into a squad led by Ben, a boy Cassie had a crush on, along with Ringer, a tough teenage girl, Dumbo and Teacup. While out on a kill mission, Ringer removes her military implant, causing her to register as an Other-possessed human on the squad's scopes. The squad deduces the plan to have them kill real unpossessed humans, making them the 5th Wave. Ben sends his squad into the woods and returns to base, claiming his squad was killed, for the purpose of retrieving Sam, who was left behind.
Ben confronts Colonel Vosch about child warriors being the 5th Wave and Cassie kills Sergeant Reznik during her one-on-one indoctrination spiel. Ben and Cassie find each other and leave to find Sam. Evan sets off numerous bombs and advises them to quickly find Sam before the destruction of the entire facility. Colonel Vosch and the surviving military evacuate with the human children by military aircraft. Cassie, Ben and Sam escape, with help from Ringer, just as Evan completes the destruction of the base. Ben's squad is reunited and Cassie ponders the strength of hope as humanity's driving force for survival."
The Boy,"Greta Evans, a young American from Montana, is hired as a nanny by the Heelshires. Upon arriving in their small town in the United Kingdom, the elderly couple show Greta her charge: a porcelain doll named Brahms that they treat like their son. Over the next day, the couple coach Greta on taking care of Brahms and their house, leave her a list of rules to follow, then leave for a holiday.
Initially, Greta ignores the rules and the doll and follows her own routine. She regularly calls her sister Sandy, who tells her that her abusive ex-boyfriend Cole has been trying to find out where she is.
Malcolm, the local grocery dealer, stops by to deliver groceries, and Greta learns that the real Brahms was killed in a fire 20 years ago on his eighth birthday. Greta accepts Malcolm's offer to show her the town, and prepares for the date. However, her dress and jewelry vanish and she is lured to the attic by strange noises and locked in.
She is mysteriously let out the next morning. She explains to Malcolm what happened, and they briefly discuss the real Brahms.
Strange things begin to happen—a child's sobs are heard in the hallways, phone calls are cut off, and the doll seems to move on its own, vanishing and reappearing elsewhere in the house. After receiving a phone call in which a child's voice urges her to follow the rules, Greta locks herself in her room. She later finds a peanut butter and jelly sandwich outside her door.
Elsewhere, the Heelshires write a goodbye letter to Brahms, then drown themselves.
Believing that Brahms' spirit lives within the doll, Greta begins to take the rules more seriously. After Greta demonstrates the doll's ability to move by itself, Malcolm becomes worried. He informs Greta that the real Brahms was friends with a young girl about his age. One day, she was found in the forest with her skull crushed. Before the police could question Brahms, the Heelshires' house was burned down with him in it. Malcolm warns Greta not to stay in the house, but Greta, having previously suffered a miscarriage after she was beaten by Cole, feels obligated to care for Brahms.
One evening, Cole abruptly appears in the house and announces his intention to bring Greta back home, by force if necessary. Malcolm makes an early delivery and decides to stay nearby. As she puts Brahms to sleep, Greta asks Brahms for help. Cole wakes up and sees a message written in blood urging him to leave. Believing it was done by either Greta or Malcolm, Cole angrily snatches the doll from Greta and smashes it.
The house begins to shake and the lights start flickering. Cole hears noises behind a mirror and investigates. The mirror explodes and knocks Cole to the ground. A strange voice calls Greta's name from the hole behind the mirror and a grown man wearing a porcelain mask of Brahms emerges. It is revealed to be the real Brahms who apparently survived the fire and now has been living in the passages behind the walls of the house. Brahms attacks and kills Cole, then turns on Malcolm and Greta.
A chase ensues throughout the house. Greta and Malcolm discover Brahms' room while trying to find an exit. A doll made from Greta's missing dress, hair and jewelry is in Brahms' bed. Greta finds the final letter from the Heelshires revealing their plan of leaving Greta as a mate for Brahms. Brahms catches them and severely beats Malcolm, threatening to kill him if Greta leaves.
Greta flees anyway, but has a change of heart. Arming herself with a screwdriver, Greta invokes the rules to force Brahms to go to bed. He asks for a good night kiss, and when she complies Brahms sexually assaults her. Greta stabs him, but he throws her across the room and tries to choke her. She stabs him several more times and he collapses. Greta drags Malcolm to his car and sighs with relief as they leave the estate.
Later, Brahms, who has survived, is seen repairing the shattered doll."
Ip Man 3,"In 1959, Ip Man is settling into his low-profile life in Hong Kong. His elder son, Ip Chun, has returned to Foshan to study, leaving him with his younger son Ip Ching and his wife Cheung Wing-sing in Hong Kong. A young Bruce Lee visits Ip and asks to become one of his students, saying he would be his greatest disciple. After Lee demonstrates his speed, Ip neither accepts nor rejects him, but insinuates for him to leave by opening the door.
After Ip Ching gets into a fight with his schoolmate, Cheung Fung, their teacher, Miss Wong, asks the parents to come to the school, though only the Ips arrive. As an apology, the Ip family invite Cheung Fung to their home for dinner. At Ip's house, Cheung Fung displays rudimentary yet impressive Wing Chun skills. When Ip asks the boy who his mentor is, he says that it is his father, Cheung Tin-chi, a poor rickshaw puller who shows up to pick up his son shortly after. Although he interacts cordially with Ip Man, he secretly envies Ip's wealth and popularity and seeks to surpass him, participating successfully in underground fights to earn extra money.
The organiser, Ma King-sang, a local triad leader, also works for Frank, an American property developer and highly proficient boxer. Frank orders Ma to acquire a piece of land occupied by the school where Ip Ching and Cheung Fung study. Ma asks for a month for it to be done, but is threatened into assuring that it will be done within two weeks. The next day, when Ip goes to pick up his son from school, he witnesses Ma and his men coercing and beating the headmaster, who refuses to sell them the school. Ip interferes and restrains Ma, but is forced to let him go. Ip seeks help from Sergeant ""Fat Po"", a close friend of his and a local police detective. Fat Po agrees to help Ip, but claims a shortage of manpower and influence. Ip then decides to guard the school alongside his students.
That night, they fend off an attack by Ma's men, who attempt to set fire to the school and kidnap the headmaster. Cheung, who happens to pass by, helps fight off the invaders and rescues the headmaster. Cheung's skills impress Ip, and he thanks Cheung for his help. Tin Ngo-san, a local martial arts master and Ma's former mentor, is enraged by Ma's unscrupulous acts, and accompanied by Ip, confronts Ma at the Hong Kong shipyard where he humiliates him in front of his men. Ma retaliates with a hidden knife, but Ip is able to stop him. Fat Po arrives and keeps the situation at bay, but Ip eventually lets Ma go again to de-escalate the situation. Ma finds Cheung and offers him a large sum of money to get revenge against Tin on his behalf. Desperate to open his own martial arts school, Cheung accepts the offer and is able to put Tin in the hospital. Ip receives a call from the hospital and visits Tin.
Upon learning that Tin did not call him, Ip realises that it was a set-up by Ma to lure him away from the school, so that his gang could kidnap some of the students, including Ip Ching and Cheung Fung. Ip arrives alone at Ma's shipyard, where Ma holds Ip Ching at knife point and threatens to sell the children into slavery if the headmaster refuses to surrender the school. Upon learning that his son was also kidnapped, Cheung arrives and is allowed to leave with his son due to being an associate; but after his son tells him that they still have his friends, he returns and fights alongside Ip. Ip and Cheung are able to hold their own until a troop of policemen led by Fat Po comes to arrest the gang, while Ma flees. After the incident, Frank dismisses Ma and sends a Thai boxer to go after Ip instead.
Returning home, Ip learns that Wing-sing has been diagnosed with cancer and may only live another six months. While taking Wing-sing home from a medicine shop, Ip is attacked in an elevator by the Thai boxer, who is defeated before the elevator reaches the ground floor. Fat Po later tells Ip about Frank, who wants to eliminate Ip at all costs for obstructing his plans. Ip decides to confront Frank in his office, where he engages Ip in a three-minute fight, promising to leave him alone if he can just last the three minutes. Ip is initially overwhelmed by his opponent's sheer muscle and force but begins turning the tide when he attacks Frank's lower half and they fight to a draw after the three minutes pass. Ip leaves the office and Frank keeps his promise, seemingly impressed.
Cheung, with the money he obtained from Ma earlier, opens his martial arts school, and claims that his Wing Chun is genuine while Ip's is not. Cheung proceeds to build his reputation by defeating a number of martial arts masters. Finally, he challenges Ip to a battle that will decide who is the true Grandmaster of Wing Chun. Meanwhile, Ip spends more time with his ailing wife, ashamedly feeling that he had neglected her earlier. On the day of the match, Ip chooses not to attend, but instead goes out dancing with Wing-sing, instructed by Bruce Lee, whom Ip finally accepts as a student. Owing to Ip's failure to attend, Cheung is declared the winner, although he seems unsatisfied by Ip's refusal to fight him. Wing-sing, despite being happy about Ip's decision to accompany her, makes an appointment with Cheung for another match on Ip's behalf, as she guesses that Ip would have attended if not for her condition.
Wing-sing accompanies Ip to the fight. After a battle with six and a half point poles, butterfly swords and an empty-handed fight, Ip eventually overpowers Cheung with a one-inch punch. Accepting defeat, Cheung destroys the banner that proclaimed himself to be the Grandmaster. Ip tells him that their closest ones are more important than competing and leaves. In the epilogue, it is revealed that Wing-sing died in 1960, and that Ip helped make Wing Chun well known internationally and left a legacy."
